  PERMNO        date           msft        vwretd        ewretd        sprtrn
   10107    20010103       0.105187      0.052945      0.046221      0.050099
   10107    20010104       0.010430     -0.011796      0.011364     -0.010552
   10107    20010105       0.014194     -0.028857     -0.008607     -0.026242
   10107    20010108      -0.003817     -0.003433     -0.005051     -0.001918
   10107    20010109       0.058748      0.004889      0.011808      0.003812
   10107    20010110       0.020507      0.013824      0.020657      0.009586
   10107    20010111       0.040189      0.014959      0.027183      0.010318
   10107    20010112      -0.027273     -0.003536      0.019473     -0.006406
   10107    20010116      -0.017523      0.006230      0.019410      0.006319
   10107    20010117       0.007134      0.004503      0.012757      0.002126
   10107    20010118       0.048406      0.012285      0.008504      0.013915
   10107    20010119       0.099099     -0.004093      0.003892     -0.004028
   10107    20010122      -0.014344      0.000299      0.005431      0.000268
   10107    20010123       0.007277      0.015816      0.014520      0.013032
   10107    20010124       0.039216      0.003290      0.007313      0.002867
   10107    20010125      -0.017875     -0.007537     -0.003242     -0.004977
   10107    20010126       0.035389     -0.000710      0.001972     -0.001886
   10107    20010129       0.007813      0.008976      0.010237      0.006805
   10107    20010130      -0.017442      0.006593      0.009543      0.007008
   10107    20010131      -0.036489     -0.006669     -0.000180     -0.005620
   10107    20010201       0.021494      0.003834      0.001991      0.005461
   10107    20010202      -0.025050     -0.018595     -0.009213     -0.017474
   10107    20010205       0.018499      0.002076     -0.003784      0.003587
   10107    20010206       0.010091      0.000493      0.002474     -0.001514
   10107    20010207       0.033966     -0.008783     -0.004362     -0.008408
   10107    20010208      -0.037681     -0.006504     -0.003159     -0.006235
   10107    20010209      -0.050201     -0.014258     -0.009423     -0.013336
   10107    20010212      -0.006342      0.010374      0.004847      0.011827
   10107    20010213      -0.009574     -0.008692     -0.003473     -0.008652
   10107    20010214       0.003222     -0.000127     -0.000491     -0.002184
   10107    20010215       0.007495      0.008944      0.009205      0.008124
   10107    20010216      -0.025505     -0.020611     -0.014242     -0.018905
   10107    20010220      -0.025082     -0.018808     -0.012359     -0.017357
   10107    20010221       0.006711     -0.018357     -0.015700     -0.018508
   10107    20010222      -0.018889     -0.004523     -0.010742     -0.001952
   10107    20010223       0.028313     -0.003925     -0.002983     -0.005555
   10107    20010226       0.049559      0.019209      0.016211      0.017490
   10107    20010227      -0.003148     -0.011432     -0.011558     -0.007660
   10107    20010228      -0.006316     -0.013730     -0.008440     -0.014309
   10107    20010301       0.006091      0.000345     -0.005543      0.001040
   10107    20010302      -0.045012     -0.004945      0.004569     -0.005680
   10107    20010305       0.013230      0.005457      0.001908      0.005858
   10107    20010306       0.034820      0.011477      0.009968      0.009981
   10107    20010307       0.021030      0.006078      0.005586      0.006452
   10107    20010308      -0.023687     -0.001273     -0.004225      0.002259
   10107    20010309      -0.043249     -0.024337     -0.015029     -0.024764
   10107    20010312      -0.083793     -0.042301     -0.030868     -0.043181
   10107    20010313       0.043321      0.014949      0.005284      0.014829
   10107    20010314      -0.003460     -0.025056     -0.017747     -0.025842
   10107    20010315      -0.005787      0.003349     -0.000251      0.005871
   10107    20010316       0.016298     -0.020826     -0.017626     -0.019624
   10107    20010319      -0.004582      0.018599      0.009299      0.017627
   10107    20010320      -0.029919     -0.023066     -0.008486     -0.024077
   10107    20010321      -0.049822     -0.018677     -0.015953     -0.017924
   10107    20010322       0.078652     -0.004431     -0.011255     -0.004064
   10107    20010323       0.047454      0.020513      0.020753      0.019909
   10107    20010326      -0.008840      0.011167      0.007496      0.011282
   10107    20010327       0.039019      0.022980      0.009026      0.025575
   10107    20010328      -0.046137     -0.026038     -0.017876     -0.024430
   10107    20010329      -0.003375     -0.005390     -0.006626     -0.004630
   10107    20010330      -0.012415      0.012095      0.016042      0.010784
   10107    20010402       0.020571     -0.015533     -0.021405     -0.012462
   10107    20010403      -0.043673     -0.035904     -0.034225     -0.034393
   10107    20010404      -0.026932     -0.003307     -0.008306     -0.002901
   10107    20010405       0.092659      0.045903      0.039432      0.043680
   10107    20010406      -0.009912     -0.020124     -0.012896     -0.019984
   10107    20010409       0.017130      0.009220      0.006249      0.008117
   10107    20010410       0.044269      0.028974      0.023254      0.027066
   10107    20010411       0.006032     -0.000843      0.006673     -0.002131
   10107    20010412       0.035643      0.015896      0.014542      0.015104
   10107    20010416      -0.022354     -0.004939     -0.003690     -0.003228
   10107    20010417       0.011351      0.010440      0.004965      0.010282
   10107    20010418       0.064249      0.039678      0.028615      0.038890
   10107    20010419       0.039890      0.014683      0.015582      0.012551
   10107    20010420       0.014109     -0.008437      0.001176     -0.008551
   10107    20010423      -0.010870     -0.016726     -0.008232     -0.014980
   10107    20010424      -0.010256     -0.010832      0.001786     -0.012161
   10107    20010425       0.031680      0.016339      0.011507      0.015941
   10107    20010426      -0.008036      0.005015      0.007508      0.004696
   10107    20010427      -0.029076      0.014490      0.011156      0.015010
   10107    20010430       0.009386      0.000759      0.010085     -0.002865
   10107    20010501       0.035720      0.013245      0.010495      0.013590
   10107    20010502      -0.005843      0.003369      0.012484      0.000782
   10107    20010503      -0.017632     -0.015239     -0.005439     -0.014873
   10107    20010504       0.032395      0.013961      0.010749      0.014440
   10107    20010507       0.008905     -0.003175      0.001494     -0.002447
   10107    20010508       0.009526     -0.000627      0.004887     -0.001828
   10107    20010509      -0.023036     -0.004341      0.000598     -0.004488
   10107    20010510      -0.005682     -0.000437      0.003118     -0.000287
   10107    20010511      -0.008571     -0.007498     -0.001821     -0.007577
   10107    20010514      -0.009798      0.000957     -0.002795      0.002609
   10107    20010515      -0.006548      0.001437      0.004047      0.000416
   10107    20010516       0.013037      0.027236      0.009954      0.028453
   10107    20010517      -0.014318      0.005842      0.010523      0.002724
   10107    20010518      -0.001171      0.002698      0.004567      0.002693
   10107    20010521       0.010281      0.018555      0.015978      0.016154
   10107    20010522       0.022096     -0.001672      0.007118     -0.002628
   10107    20010523      -0.008676     -0.016684     -0.007040     -0.015526
   10107    20010524       0.028981      0.004148      0.005509      0.003196
   10107    20010525      -0.011294     -0.009918      0.002663     -0.011816
   10107    20010529      -0.008038     -0.010351     -0.008268     -0.007794
   10107    20010530      -0.016349     -0.017557     -0.016164     -0.015655
   10107    20010531      -0.000145      0.007651      0.007395      0.006202
   10107    20010601       0.016768      0.005394      0.006181      0.003862
   10107    20010604       0.006255      0.005087      0.005380      0.005108
   10107    20010605       0.025713      0.014231      0.011546      0.012990
   10107    20010606      -0.003306     -0.009436     -0.003241     -0.010549
   10107    20010607       0.018242      0.005334      0.005451      0.005457
   10107    20010608      -0.006650     -0.009524     -0.002056     -0.009397
   10107    20010611      -0.014619     -0.009593     -0.005670     -0.008356
   10107    20010612      -0.000555      0.000192     -0.001292      0.001164
   10107    20010613      -0.019284     -0.009956     -0.002346     -0.011347
   10107    20010614      -0.025322     -0.019208     -0.014887     -0.017502
   10107    20010615      -0.012772     -0.004894     -0.004950     -0.004517
   10107    20010618      -0.016760     -0.006663     -0.012844     -0.004883
   10107    20010619       0.006579      0.001777     -0.005603      0.003434
   10107    20010620       0.031046      0.009780      0.001334      0.008709
   10107    20010621       0.006195      0.009891      0.003729      0.011364
   10107    20010622      -0.014462     -0.009011     -0.002499     -0.009450
   10107    20010625       0.000291     -0.004862     -0.000223     -0.005509
   10107    20010626       0.018736     -0.000158      0.004977     -0.001510
   10107    20010627       0.014257     -0.002103      0.004318     -0.004676
   10107    20010628       0.022491      0.012563      0.007562      0.012493
   10107    20010629       0.003574      0.004373      0.018683     -0.001452
   10107    20010702      -0.032877      0.005336     -0.005534      0.010037
   10107    20010703      -0.001841     -0.001734     -0.000217     -0.001827
   10107    20010705      -0.027813     -0.012101     -0.007388     -0.012321
   10107    20010706      -0.035761     -0.022162     -0.011844     -0.023498
   10107    20010709      -0.005601      0.005711      0.002084      0.006879
   10107    20010710      -0.018420     -0.014255     -0.009420     -0.014398
   10107    20010711       0.031327     -0.002275     -0.005388     -0.001134
   10107    20010712       0.076692      0.023559      0.014742      0.023691
   10107    20010713      -0.003631      0.005372      0.003936      0.006241
   10107    20010716      -0.002243     -0.011631     -0.007309     -0.010883
   10107    20010717       0.008991      0.010631      0.005250      0.009971
   10107    20010718      -0.017405     -0.006842     -0.008032     -0.005542
   10107    20010719       0.028341      0.005144      0.005491      0.006053
   10107    20010720      -0.046714     -0.002914      0.000336     -0.003432
   10107    20010723      -0.030211     -0.014655     -0.005580     -0.016369
   10107    20010724      -0.011477     -0.016244     -0.011498     -0.016272
   10107    20010725       0.017491      0.013676      0.002768      0.016080
   10107    20010726      -0.013189      0.011494      0.007670      0.010449
   10107    20010727      -0.016819      0.003289      0.003519      0.002402
   10107    20010730       0.005041     -0.001182     -0.001138     -0.001078
   10107    20010731       0.005927      0.004898      0.003221      0.005571
   10107    20010801       0.004230      0.005020      0.006442      0.003880
   10107    20010802       0.014743      0.003225      0.002534      0.003964
   10107    20010803      -0.008302     -0.004621      0.000534     -0.005243
   10107    20010806      -0.011362     -0.011011     -0.005900     -0.011422
   10107    20010807       0.003327      0.002246     -0.000389      0.003265
   10107    20010808      -0.022457     -0.016750     -0.010004     -0.017328
   10107    20010809       0.002313     -0.000152     -0.001149     -0.000084
   10107    20010810       0.007845      0.004273      0.000756      0.005687
   10107    20010813       0.004731      0.002349      0.002532      0.000949
