PERMNO        date           nflx        vwretd        ewretd        sprtrn
   89393    20090102      -0.000669      0.030501      0.038274      0.031608
   89393    20090105       0.069300     -0.000580      0.016764     -0.004668
   89393    20090106       0.031309      0.011297      0.033647      0.007817
   89393    20090107      -0.006982     -0.030489     -0.022271     -0.030010
   89393    20090108       0.013452      0.006283      0.011896      0.003397
   89393    20090109      -0.026848     -0.022410     -0.018748     -0.021303
   89393    20090112      -0.032548     -0.025560     -0.026589     -0.022564
   89393    20090113      -0.008651      0.003514      0.003554      0.001758
   89393    20090114      -0.045249     -0.035197     -0.035065     -0.033460
   89393    20090115       0.070413      0.004632      0.005630      0.001329
   89393    20090116      -0.011385      0.008439      0.008792      0.007562
   89393    20090120      -0.045745     -0.055273     -0.051506     -0.052816
   89393    20090121       0.028830      0.043228      0.036151      0.043491
   89393    20090122       0.004888     -0.018218     -0.021960     -0.015162
   89393    20090123      -0.012970      0.006841      0.003373      0.005378
   89393    20090126      -0.009527      0.006132      0.010067      0.005553
   89393    20090127       0.154892      0.011296      0.010037      0.010926
   89393    20090128       0.038484      0.033780      0.030523      0.033558
   89393    20090129       0.019912     -0.032823     -0.028890     -0.033120
   89393    20090130      -0.020065     -0.020768     -0.012829     -0.022789
   89393    20090202       0.022413     -0.001067      0.001559     -0.000533
   89393    20090203      -0.005683      0.014357      0.008983      0.015834
   89393    20090204       0.002994     -0.004440     -0.004053     -0.007489
   89393    20090205       0.016825      0.015526      0.011978      0.016366
   89393    20090206      -0.012543      0.027933      0.026723      0.026896
   89393    20090209      -0.001622      0.001233      0.000768      0.001485
   89393    20090210      -0.020845     -0.045998     -0.035051     -0.049121
   89393    20090211       0.000000      0.007304      0.004636      0.007955
   89393    20090212       0.048659      0.002613     -0.000766      0.001739
   89393    20090213       0.016082     -0.008815     -0.002111     -0.009998
   89393    20090217      -0.034250     -0.045266     -0.041883     -0.045559
   89393    20090218      -0.005911     -0.003761     -0.011621     -0.000950
   89393    20090219       0.002432     -0.011170     -0.015135     -0.012024
   89393    20090220      -0.007819     -0.011762     -0.020020     -0.011413
   89393    20090223      -0.033152     -0.036124     -0.030842     -0.034699
   89393    20090224       0.013491      0.040182      0.037750      0.040103
   89393    20090225      -0.007488     -0.010666     -0.015518     -0.010658
   89393    20090226      -0.000279     -0.012148     -0.007036     -0.015780
   89393    20090227       0.012856     -0.019050     -0.010451     -0.023564
   89393    20090302      -0.052152     -0.049810     -0.055698     -0.046620
   89393    20090303       0.058515     -0.006325     -0.013924     -0.006407
   89393    20090304       0.037129      0.025902      0.029680      0.023753
   89393    20090305       0.005039     -0.041836     -0.049091     -0.042532
   89393    20090306       0.007388      0.001617     -0.002234      0.001216
   89393    20090309       0.008381     -0.011360     -0.016324     -0.010024
   89393    20090310       0.000000      0.063381      0.062630      0.063663
   89393    20090311      -0.026234      0.004059      0.005505      0.002446
   89393    20090312       0.065884      0.041915      0.051270      0.040729
   89393    20090313      -0.014765      0.006025      0.009588      0.007739
   89393    20090316      -0.018034     -0.004790      0.001275     -0.003516
   89393    20090317       0.055096      0.031010      0.030369      0.032140
   89393    20090318       0.020348      0.022361      0.034165      0.020858
   89393    20090319      -0.002643     -0.007990      0.007670     -0.012979
   89393    20090320       0.003373     -0.020300     -0.014139     -0.019769
   89393    20090323       0.042017      0.069054      0.064792      0.070758
   89393    20090324       0.000461     -0.019962     -0.016054     -0.020415
   89393    20090325      -0.042837      0.009016      0.017815      0.009626
   89393    20090326       0.004572      0.025259      0.035806      0.023320
   89393    20090327      -0.049581     -0.021632     -0.021529     -0.020316
   89393    20090330       0.059224     -0.036229     -0.031872     -0.034819
   89393    20090331       0.021175      0.014244      0.020144      0.013130
   89393    20090401      -0.001165      0.017208      0.015828      0.016557
   89393    20090402       0.006065      0.031717      0.039004      0.028727
   89393    20090403      -0.001391      0.011632      0.012703      0.009732
