   qdate     yield1     yield3
19610131      2.783      3.365
19610228      2.974      3.311
19610330      2.896      3.147
19610428      2.872      3.211
19610531      2.929      3.420
19610630      2.998      3.513
19610731      2.890      3.628
19610831      3.048      3.628
19610929      2.977      3.617
19611031      2.937      3.503
19611130      2.970      3.618
19611229      3.109      3.705
19620131      3.292      3.802
19620228      3.135      3.472
19620330      2.887      3.322
19620430      3.006      3.365
19620531      2.943      3.321
19620629      3.071      3.481
19620731      3.308      3.545
19620831      3.034      3.345
19620928      2.963      3.320
19621031      2.922      3.313
19621130      2.922      3.372
19621231      2.978      3.380
19630131      3.029      3.398
19630228      2.961      3.400
19630329      3.027      3.425
19630430      3.099      3.521
19630531      3.150      3.550
19630628      3.126      3.535
19630731      3.487      3.663
19630830      3.687      3.673
19630930      3.697      3.685
19631031      3.666      3.748
19631129      3.792      3.786
19631231      3.829      3.925
19640131      3.789      3.939
19640228      3.947      4.025
19640331      3.910      4.125
19640430      3.783      4.047
19640528      3.832      3.964
19640630      3.780      3.894
19640731      3.759      3.868
19640831      3.813      3.902
19640930      3.897      3.939
19641030      3.906      3.973
19641130      4.214      4.094
19641231      4.050      3.975
19650129      4.077      3.940
19650226      4.204      3.997
19650331      4.140      4.024
19650430      4.097      4.039
19650528      4.077      4.036
19650630      3.976      4.004
19650730      4.018      4.048
19650831      4.172      4.145
19650930      4.346      4.264
19651029      4.352      4.282
19651130      4.436      4.398
19651231      4.886      4.890
19660131      4.920      4.901
19660228      4.980      4.945
19660331      4.930      4.740
19660429      4.990      4.858
19660531      5.090      4.985
19660630      5.106      5.120
19660729      5.246      5.210
19660831      5.931      5.766
19660930      6.000      5.387
19661031      5.700      5.234
19661130      5.438      5.334
19661230      5.013      4.876
19670131      4.611      4.565
19670228      4.660      4.729
19670331      4.140      4.235
19670428      4.030      4.502
19670531      3.961      4.516
19670630      5.061      5.051
19670731      5.096      4.952
19670831      5.259      5.212
19670929      5.358      5.280
19671031      5.518      5.530
19671130      5.821      5.593
19671229      5.944      5.709
19680131      5.470      5.403
19680229      5.529      5.578
19680329      5.686      5.685
19680430      5.910      5.855
19680531      6.057      5.787
19680628      5.900      5.552
19680731      5.395      5.102
19680830      5.362      5.117
19680930      5.373      5.196
19681031      5.625      5.277
19681129      5.815      5.375
19681231      6.487      6.056
19690131      6.096      5.989
19690228      6.652      6.358
19690328      6.489      6.149
19690430      6.179      6.107
19690529      6.480      6.507
19690630      7.355      7.022
19690731      7.338      7.113
19690829      7.637      7.186
19690930      7.799      7.769
19691031      7.369      7.195
19691128      7.883      7.514
19691231      8.024      8.157
19700130      8.000      8.059
19700227      6.919      7.025
19700331      6.606      6.858
19700430      7.487      7.730
19700529      7.435      7.600
19700630      7.187      7.565
19700731      6.806      7.313
19700831      6.796      7.187
19700930      6.590      6.824
19701030      6.320      6.700
19701130      5.096      5.632
19701231      4.883      5.765
19710129      4.310      5.234
19710226      3.772      4.835
19710331      3.756      4.510
19710430      4.549      5.704
19710528      4.889      5.845
19710630      6.056      6.672
19710730      6.110      6.727
19710831      5.267      5.707
19710930      5.268      5.647
19711029      4.586      5.205
19711130      4.739      5.281
19711231      4.179      5.076
19720131      4.124      5.328
19720229      4.288      5.242
19720330      4.934      5.776
19720428      4.510      5.524
19720531      4.627      5.377
19720630      5.248      5.698
19720731      4.946      5.663
19720831      5.482      5.888
19720929      5.644      5.928
19721031      5.537      5.933
19721130      5.392      5.806
19721229      5.525      5.989
19730131      6.144      6.277
19730228      6.404      6.580
19730330      6.930      6.696
19730430      6.701      6.631
19730531      6.944      6.617
19730629      7.556      6.879
19730731      8.626      7.793
19730831      8.367      7.245
19730928      7.660      6.603
19731031      7.122      6.640
19731130      7.424      6.605
19731231      7.124      6.631
19740131      6.885      6.709
19740228      7.021      6.689
19740329      8.115      7.574
19740430      8.670      8.057
19740531      8.315      7.937
19740628      8.608      8.139
19740731      8.657      8.321
19740830      9.677      8.415
19740930      7.892      7.812
19741031      7.641      7.721
19741129      7.511      7.310
19741231      6.875      7.145
19750131      6.083      6.841
19750228      5.862      6.499
19750331      6.190      6.972
19750430      6.664      7.709
19750530      6.000      7.093
19750630      6.701      7.337
19750731      7.168      7.767
19750829      7.299      7.779
19750930      7.531      8.016
19751031      6.149      7.109
19751128      6.420      7.319
19751231      5.974      6.948
19760130      5.515      6.872
19760227      6.011      7.042
19760331      5.993      6.932
19760430      5.982      6.873
19760528      6.647      7.394
19760630      6.342      7.104
19760730      6.018      6.903
19760831      5.822      6.663
19760930      5.722      6.567
19761029      5.423      6.230
19761130      4.915      5.604
19761231      4.768      5.682
19770131      5.587      6.481
19770228      5.458      6.413
19770331      5.352      6.351
19770429      5.426      6.308
19770531      5.645      6.332
19770630      5.609      6.172
19770729      6.119      6.512
19770831      6.236      6.617
19770930      6.479      6.789
19771031      6.782      7.122
19771130      6.625      7.049
19771230      6.835      7.164
19780131      7.070      7.405
19780228      7.133      7.558
19780331      7.164      7.641
19780428      7.352      7.762
19780531      7.763      7.975
19780630      8.194      8.305
19780731      8.050      8.250
19780831      8.254      8.160
19780929      8.553      8.245
19781031      9.506      9.062
19781130      9.744      8.879
19781229     10.142      9.363
19790131      9.781      8.923
19790228      9.905      9.032
19790330      9.578      9.040
19790430      9.762      9.174
19790531      9.621      8.810
19790629      9.107      8.526
19790731      9.416      8.792
19790831     10.054      9.219
19790928     10.581      9.496
19791031     12.420     11.221
19791130     11.183     10.151
19791231     11.156     10.374
19800131     11.615     10.778
19800229     14.387     13.248
19800331     14.880     13.016
19800430     10.375     10.181
19800530      8.525      9.071
19800630      8.214      9.036
19800731      8.903      9.734
19800829     11.014     11.231
19800930     11.751     11.576
19801031     12.956     12.332
19801128     14.148     12.824
19801231     12.811     11.975
19810130     13.491     12.249
19810227     14.041     13.209
19810331     12.603     12.634
19810430     14.511     13.768
19810529     14.395     13.492
19810630     13.906     13.554
19810731     15.349     14.400
19810831     15.812     15.557
19810930     15.433     15.529
19811030     13.799     14.043
19811130     11.052     12.525
19811231     12.900     13.475
19820129     13.560     13.712
19820226     13.733     13.567
19820331     13.657     13.876
19820430     13.341     13.401
19820528     12.708     13.170
19820630     13.963     14.205
19820730     12.273     12.999
19820831     11.235     12.149
19820930     10.203     11.165
19821029      9.371     10.534
19821130      9.211     10.173
19821231      8.491      9.834
19830131      8.712     10.020
19830228      8.454      9.526
19830331      9.119     10.007
19830429      8.615      9.557
19830531      9.228     10.040
19830630      9.399     10.169
19830729     10.191     10.949
19830831     10.293     11.133
19830930      9.649     10.657
19831031      9.506     10.763
19831130      9.652     10.668
19831230      9.803     10.744
19840131      9.536     10.595
19840229      9.918     10.999
19840330     10.638     11.553
19840430     10.706     11.771
19840531     11.893     12.946
19840629     11.919     13.108
19840731     11.556     12.313
19840831     11.749     12.249
19840928     11.047     11.911
19841031     10.120     11.093
19841130      9.478     10.598
19841231      9.018     10.386
19850131      8.838     10.112
19850228      9.676     10.783
19850329      9.535     10.632
19850430      8.922     10.209
19850531      8.049      9.214
19850628      7.679      9.243
19850731      8.152      9.473
19850830      8.033      9.207
19850930      8.023      9.168
19851031      7.770      8.891
19851129      7.689      8.578
19851231      7.479      8.159
19860131      7.577      8.215
19860228      7.377      7.723
19860331      6.791      7.084
19860430      6.497      7.136
19860530      6.835      7.637
19860630      6.418      7.118
19860731      6.197      7.045
19860829      5.468      6.325
19860930      5.823      6.722
19861031      5.651      6.521
19861128      5.732      6.354
19861231      6.060      6.505
19870130      5.905      6.448
19870227      5.976      6.451
19870331      6.182      6.699
19870430      6.836      7.572
19870529      7.090      7.850
19870630      6.823      7.633
19870731      6.935      7.836
19870831      7.205      8.144
19870930      7.882      8.767
19871030      6.714      8.023
19871130      6.883      7.965
19871231      7.242      7.887
19880129      6.719      7.372
19880229      6.608      7.238
19880331      6.849      7.552
19880429      7.091      7.883
19880531      7.665      8.272
19880630      7.509      8.036
19880729      7.904      8.381
19880831      8.253      8.615
19880930      7.974      8.368
19881031      7.902      8.100
19881130      8.463      8.644
19881230      8.896      8.986
19890131      8.883      8.864
19890228      9.354      9.251
19890331      9.621      9.456
19890428      9.050      9.016
19890531      8.765      8.610
19890630      8.118      7.911
19890731      7.598      7.452
19890831      8.113      8.180
19890929      8.309      8.292
19891031      7.746      7.773
19891130      7.669      7.632
19891229      7.757      7.789
19900131      8.076      8.168
19900228      8.050      8.275
19900330      8.287      8.542
19900430      8.537      8.835
19900531      8.121      8.362
19900629      7.947      8.139
19900731      7.668      7.862
19900831      7.620      8.113
19900928      7.584      8.043
19901031      7.455      7.806
19901130      7.332      7.550
19901231      6.918      7.307
19910131      6.609      7.162
19910228      6.497      7.158
19910328      6.352      7.228
19910430      6.184      7.062
19910531      6.257      7.045
19910628      6.313      7.295
19910731      6.158      7.109
19910830      5.644      6.652
19910930      5.371      6.317
19911031      5.154      6.072
19911129      4.789      5.792
19911231      4.171      5.177
19920131      4.339      5.748
19920228      4.401      5.819
19920331      4.609      6.244
19920430      4.376      6.071
19920529      4.269      5.801
19920630      4.063      5.453
19920731      3.580      5.002
19920831      3.436      4.742
19920930      3.105      4.404
