 DATE        PS_LEVEL        PS_INNOV          PS_VWF
19620831    -0.017627253     0.004329826             -99
19620928    -0.004085483     0.013518034             -99
19621031    -0.104229891    -0.072595301             -99
19621130    -0.019620252     0.030973926             -99
19621231    -0.005288012     0.014779172             -99
19630131    -0.055790672     0.011711929             -99
19630228     0.014402543     0.027714666             -99
19630329    -0.023372166    -0.018708041             -99
19630430     0.054126597     0.079976796             -99
19630531     0.003541092    -0.011725728             -99
19630628     0.009591518     0.001493525             -99
19630731     0.014324982      0.02208217             -99
19630830     0.033767399     0.040269337             -99
19630930    -0.007538195     0.021514475             -99
19631031      0.02680561     0.034198811             -99
19631129    -0.053130346    -0.058536018             -99
19631231    -0.020570904     0.015522011             -99
19640131    -0.071359366    -0.053335223             -99
19640228      -0.0247466     0.015097805             -99
19640331     0.031386002     0.043632214             -99
19640430     -0.04066383    -0.026169597             -99
19640528    -0.025722419    -0.004382887             -99
19640630    -0.056559794    -0.008775452             -99
19640731     0.058182491     0.058164328             -99
19640831    -0.048509276    -0.043094792             -99
19640930    -0.008161616     0.014805747             -99
19641030     0.012932947     0.039931642             -99
19641130     0.014885003    -0.002670145             -99
19641231     -0.02672873    -0.011919462             -99
19650129     0.037920508     0.072047655             -99
19650226    -0.016425606     0.023144622             -99
19650331     0.033963327     0.019067504             -99
19650430     0.022358717     0.042222582             -99
19650528    -0.012941827     0.035428562             -99
19650630    -0.163392854    -0.111187643             -99
19650730     -0.08096848    -0.046911716             -99
19650831    -0.034744624     0.074004396             -99
19650930     0.026999793      0.06339633             -99
19651029     0.006197337    -0.023868014             -99
19651130     0.044465972     0.068315807             -99
19651231     0.040876306     0.025279338             -99
19660131     0.039968854     0.023576098             -99
19660228     0.035016761     0.047051044             -99
19660331    -0.066238824    -0.063883028             -99
19660429     0.026812452     0.056813512             -99
19660531    -0.121194404    -0.076515572             -99
19660630    -0.053360838    -0.010266001             -99
19660729    -0.032997534     0.009198933             -99
19660831     -0.10665391    -0.084586746             -99
19660930     -0.08781642    -0.042978226             -99
19661031    -0.206519452    -0.082649112             -99
19661130    -0.054098778     0.051007567             -99
19661230    -0.023814897     0.046242255             -99
19670131    -0.027405442     0.012966038             -99
19670228     -0.07257262     0.016204314             -99
19670331    -0.008628792     0.036748477             -99
19670428    -0.001526762     0.020658866             -99
19670531      0.01392071     0.025726107             -99
19670630     -0.06197855    -0.047058813             -99
19670731    -0.028372898     0.015968752             -99
19670831     0.029069793     0.071247151             -99
19670929     0.023541225     0.031511077             -99
19671031    -0.030537222    -0.040213489             -99
19671130    -0.030663795    -0.009675588             -99
19671229     0.001591165     0.035485418             -99
19680131    -0.021520523     0.003798138    -0.020892751
19680229    -0.034595809     -0.01733886     0.022073532
19680329    -0.116931838    -0.080454396     0.010561832
19680430     0.022450908     0.089860078     0.008742289
19680531    -0.020611245     0.011005298    -0.017811107
19680628     0.008224888     0.034472075     0.000361029
19680730    -0.010495543     0.009661178    -0.036057458
19680830    -0.020198654    -0.006824254     0.005968284
19680930    -0.008706623     0.016133403     0.009866416
19681031     0.006605193     0.027986138    -0.001083318
19681129    -0.000225964     0.017239541    -0.009142032
19681231    -0.028572054    -0.009024849     0.012022735
19690131    -0.033784758    -0.005766206     0.022415343
19690228    -0.025028028     0.012844625      0.05730402
19690328    -0.022565304     0.008310033    -0.015186961
19690430    -0.012528958     0.010760213     0.015200954
19690529     0.011488125     0.047364891     0.008663908
19690630    -0.047358946    -0.037472617     0.057603871
19690731    -0.122444028    -0.089533482      0.03232117
19690829    -0.087129504    -0.043024854    -0.012760972
19690930     0.013156871     0.091116878     0.020723512
19691031    -0.060644336    -0.024919841    -0.059202497
19691128     0.016293009     0.042113344     0.031732891
19691231    -0.019720936     -0.02363484     0.026402553
19700130    -0.110173381    -0.065712456      0.02112288
19700227    -0.081388086    -0.008150809    -0.054682738
19700331    -0.138437526    -0.062706101     0.002420451
19700430    -0.094261287    -0.027728422     0.040201197
19700529    -0.240558562    -0.195324844    -0.077147995
19700630    -0.187612336    -0.135703278    -0.033266361
19700731    -0.013782635     0.065690563    -0.002497175
19700831    -0.066604502     0.008437069     0.000257556
19700930    -0.066822888    -0.012516426     -0.01664897
19701030     0.096239916     0.098049569    -0.015394011
19701130    -0.059825074     -0.04520042     -0.00483046
19701231    -0.073008798    -0.013293658     0.048682921
19710129     0.017755938     0.044598512    -0.046709163
19710226    -0.064480661    -0.036050753    -0.011862921
