yr  qr value
1986 2 0.0015
1986 3 0.002
1986 4 0.0024
1987 1 0.0022
1987 2 0.0027
1987 3 0.0044
1987 4 0.0046
1988 1 0.0038
1988 2 0.0045
1988 3 0.0058
1988 4 0.0051
1989 1 0.0056
1989 2 0.0061
1989 3 0.0087
1989 4 0.0086
1990 1 0.009
1990 2 0.0097
1990 3 0.0127
1990 4 0.0136
1991 1 0.0153
1991 2 0.0156
1991 3 0.0187
1991 4 0.0188
1992 1 0.0222
1992 2 0.0218
1992 3 0.0243
1992 4 0.025
1993 1 0.0272
1993 2 0.0247
1993 3 0.0297
1993 4 0.0347
1994 1 0.035
1994 2 0.0319
1994 3 0.0375
1994 4 0.0394
1995 1 0.0394
1995 2 0.0487
1995 3 0.0544
1995 4 0.055
1996 1 0.0544
1996 2 0.0594
1996 3 0.0712
1996 4 0.0987
1997 1 0.1
1997 2 0.09
1997 3 0.1062
1997 4 0.125
1998 1 0.125
1998 2 0.14
1998 3 0.1825
1998 4 0.175
1999 1 0.2
1999 2 0.19
1999 3 0.235
1999 4 0.215
2000 1 0.22
2000 2 0.23
2000 3 0.235
2000 4 0.22
2001 1 0.215
2001 2 0.245
2001 3 0.22
2001 4 0.22
2002 1 0.21
2002 2 0.275
2002 3 0.265
2002 4 0.27
2003 1 0.27
2003 2 0.23
2003 3 0.3
2003 4 0.34
2004 1 0.28
2004 2 0.31
2004 3 0.35
2004 4 0.32
2005 1 0.32
2005 2 0.31
2005 3 0.33
2005 4 0.32
2006 1 0.31
2006 2 0.35
2006 3 0.26
2006 4 0.49
2007 1 0.39
2007 2 0.45
2007 3 0.5
2007 4 0.47
2008 1 0.46
2008 2 0.48
2008 3 0.47
2008 4 0.39
2009 1 0.36
2009 2 0.4
2009 3 0.74
2009 4 0.45
2010 1 0.51
2010 2 0.62
2010 3 0.77
2010 4 0.56
2011 1 0.69
2011 2 0.68
2011 3 0.78
2011 4 0.6
2012 1 0.67
2012 2 0.53
2012 3 0.76
2012 4 0.72
2013 1 0.66
2013 2 0.62
2013 3 0.78
